Abbreviation,Title,Level / Tier,Region,Scope,Cancer Type FINAL,Heme subcancers,Audience,Organizer/Society,Discipline,Typical Month,Format
AAAAI WAO,"American Academy of Allergy, Asthma & Immunology / World Allergy Organization Joint Congress",Tier 2,United States,All,All,,Specialist,,Med Onc,,In-person
AACR,American Association for Cancer Research Annual Meeting,Tier 1,United States,All,All,,Other,American Association for Cancer Research,Basic/Translational,April,Hybrid
AAD,American Academy of Dermatology Annual Meeting,Tier 2,United States,Specific,Skin Cancers,,Specialist,,Derm Onc,,In-person
AASLD,American Association for the Study of Liver Diseases (The Liver Meeting),Tier 2,United States,Specific,Liver and Bile Duct Cancers,,Specialist,,Med Onc,,In-person
ACOG,American College of Obstetricians and Gynecologists Annual Clinical & Scientific Meeting,Tier 2,United States,Specific,Gynecological Cancers,,Specialist,,Med Onc,,In-person
ACoP,American Conference on Pharmacometrics (ISoP),Tier 3,United States,All,All,,Other,,Med Onc,October/November,Hybrid
ACRO,American College of Radiation Oncology Annual Meeting,Tier 2,United States,All,All,,Specialist,American College of Radiation Oncology,Rad Onc,January/February,Hybrid
AHA,American Heart Association Scientific Sessions,Tier 2,United States,All,All,,Other,,Med Onc,,In-person
AHNS,American Head & Neck Society (at COSM),Tier 2,United States,Specific,Head and Neck Cancers,,Specialist,,ENT / Head & Neck,April (at COSM),In-person
AMCP,Academy of Managed Care Pharmacy Annual Meeting,Tier 2,United States,All,All,,Other,AMCP,HEOR/Market Access,March/April & October,Hybrid
APHA,American Public Health Association Annual Meeting & Expo,Tier 2,United States,All,All,,Other,APHA,Med Onc,October/November,Hybrid
ARS,American Rhinologic Society (at COSM),Tier 3,United States,Specific,Head and Neck Cancers,,Specialist,,ENT / Head & Neck,April (at COSM),In-person
ARVO,Association for Research in Vision and Ophthalmology Annual Meeting,Tier 2,United States,Specific,Ocular Cancers,,Specialist,,Med Onc,May,Hybrid
ASCO,American Society of Clinical Oncology Annual Meeting,Tier 1,United States,All,All,,Med Onc,American Society of Clinical Oncology,Med Onc,June,Hybrid
ASCO GI,ASCO Gastrointestinal Cancers Symposium,Tier 1,United States,Specific,Gastric (Stomach) Cancer,,Med Onc,,Med Onc,,Hybrid
ASCO GU,ASCO Genitourinary Cancers Symposium,Tier 1,United States,Specific,Prostate Cancer,,Med Onc,,Surg Onc / Urology,,Hybrid
ASH,American Society of Hematology Annual Meeting & Exposition,Tier 1,United States,Specific,Hematological Malignancies,,Heme/Onc,American Society of Hematology,Heme/Onc,December,Hybrid
ASPHO,American Society of Pediatric Hematology/Oncology Conference,Tier 2,United States,Specific,Pediatric Cancers,,Heme/Onc,,Med Onc,,In-person
ASTCT/CIBMTR,Transplantation & Cellular Therapy Meetings of ASTCT and CIBMTR,Tier 1,United States,Specific,Hematological Malignancies,Multiple Myeloma,Heme/Onc,ASTCT & CIBMTR,Heme/Onc,February,Hybrid
ASTRO,American Society for Radiation Oncology Annual Meeting,Tier 1,United States,All,All,,Specialist,American Society for Radiation Oncology,Rad Onc,September/October,Hybrid
ATA,American Thyroid Association Annual Meeting,Tier 2,United States,Specific,Thyroid Cancer,,Specialist,American Thyroid Association,Endocrine / Thyroid,October,Hybrid
AUA,American Urological Association Annual Meeting,Tier 1,United States,Specific,Prostate Cancer,,Specialist,American Urological Association,Surg Onc / Urology,May,Hybrid
BMT Tandem,Former name: Tandem Meetings of ASTCT & CIBMTR (now TCT Meetings),Tier 1,United States,Specific,Hematological Malignancies,Multiple Myeloma,Heme/Onc,,Heme/Onc,,Hybrid
CFS,Chemotherapy Foundation Symposium,Tier 2,United States,All,All,,Med Onc,Chemotherapy Foundation / PER,Med Onc,November,In-person
CHEST,American College of Chest Physicians (CHEST) Annual Meeting,Tier 2,United States,Specific,Lung Cancers,,Specialist,,Med Onc / Thoracic,October,Hybrid
COMy,World Congress on Controversies in Multiple Myeloma,Tier 2,International,Specific,Hematological Malignancies,Multiple Myeloma,Heme/Onc,,Heme/Onc,May,Hybrid
COSM,Combined Otolaryngology Spring Meetings,Tier 2,United States,Specific,Head and Neck Cancers,,Specialist,,ENT / Head & Neck,April,In-person
CRI,International Cancer Immunotherapy Conference (CICON),Tier 1,International,All,All,,Med Onc,,Med Onc,,Hybrid
CTOS,Connective Tissue Oncology Society Annual Meeting,Tier 1,International,Specific,Soft Tissue Cancers (including Heart),,Med Onc,Connective Tissue Oncology Society,Sarcoma / Ortho Onc,November,In-person
DAVA ONC: BREAST CANCER,DAVA Oncology Fellows Forum in Breast Cancer,Tier 3,United States,Specific,Breast Cancer,,Med Onc,,Med Onc / Breast,,In-person
DAVA ONC: GI,DAVA Oncology Fellows Forum in GI Malignancies,Tier 3,United States,Specific,Colorectal Cancer,,Med Onc,,,,
DAVA ONC: THORACIC,DAVA Oncology Fellows Forum in Thoracic Malignancies,Tier 3,United States,Specific,Lung Cancers,,Med Onc,,,,
EACPT,European Association for Clinical Pharmacology and Therapeutics Congress,Tier 2,International,All,All,,Other,,Med Onc,,In-person
EACR,European Association for Cancer Research Congress,Tier 2,International,All,All,,Other,European Association for Cancer Research,Basic/Translational,,In-person
EAHAD,European Association for Haemophilia and Allied Disorders Congress,Tier 2,International,Specific,Hematological Malignancies,Myeloproliferative Neoplasms,Specialist,,Heme/Onc,,In-person
EANO,European Association of Neuro-Oncology Meeting,Tier 1,International,Specific,Brain and Other Nervous System,,Med Onc,European Association of Neuro-Oncology,Neuro-Onc,September,Hybrid
EASL,European Association for the Study of the Liver (International Liver Congress),Tier 1,International,Specific,Liver and Bile Duct Cancers,,Specialist,EASL,Med Onc,April,Hybrid
EAU,European Association of Urology Annual Congress,Tier 1,International,Specific,Prostate Cancer,,Specialist,European Association of Urology,Surg Onc / Urology,March/April,Hybrid
EBCC,European Breast Cancer Conference,Tier 2,International,Specific,Breast Cancer,,Med Onc,,Med Onc / Breast,March,In-person
EBMT,European Society for Blood and Marrow Transplantation Annual Meeting,Tier 1,International,Specific,Hematological Malignancies,Acute Myeloid Leukemia,Heme/Onc,European Society for Blood and Marrow Transplantation,Heme/Onc,April,Hybrid
ECNM,European Competence Network on Mastocytosis Annual Meeting,Tier 3,International,Specific,Hematological Malignancies,Systemic Mastocytosis,Specialist,,Heme/Onc,,In-person
EHA,European Hematology Association Congress,Tier 1,International,Specific,Hematological Malignancies,,Heme/Onc,European Hematology Association,Heme/Onc,June,Hybrid
ELCC,European Lung Cancer Congress (ESMO/IASLC),Tier 1,International,Specific,Lung Cancers,,Med Onc,ESMO & IASLC,Med Onc / Thoracic,April,Hybrid
EMSOS,European Musculo-Skeletal Oncology Society Annual Meeting,Tier 2,International,Specific,Bone and Joint Cancers,,Specialist,,Sarcoma / Ortho Onc,May,In-person
ENDO,Endocrine Society Annual Meeting (ENDO),Tier 2,United States,Specific,Thyroid Cancer,,Specialist,Endocrine Society,Endocrine / Thyroid,June,Hybrid
ENETS,European Neuroendocrine Tumor Society Annual Conference,Tier 1,International,Specific,Adrenal Cancer and Neuroendocrine Tumors,,Specialist,ENETS,Med Onc,March,Hybrid
EORTC-NCI-AACR,Molecular Targets and Cancer Therapeutics Symposium,Tier 1,International,All,All,,Med Onc,EORTC / NCI / AACR,Med Onc,October/November,In-person
ESGO,European Society of Gynaecological Oncology Congress,Tier 1,International,Specific,Gynecological Cancers,,Med Onc,European Society of Gynaecological Oncology,Med Onc,,Hybrid
ESHG,European Society of Human Genetics Conference,Tier 2,International,Specific,Specific Syndromes,,Other,,Med Onc,,In-person
ESMO,European Society for Medical Oncology Congress,Tier 1,International,All,All,,Med Onc,European Society for Medical Oncology,Med Onc,September/October,Hybrid
ESMO BC,ESMO Breast Cancer Congress,Tier 1,International,Specific,Breast Cancer,,Med Onc,,Med Onc / Breast,May,Hybrid
ESMO GI,ESMO Gastrointestinal Cancers Congress,Tier 1,International,Specific,Colorectal Cancer,,Med Onc,,Med Onc,June/July,Hybrid
ESMO GYN,ESMO Gynaecological Cancers Congress,Tier 1,International,Specific,Gynecological Cancers,,Med Onc,,Med Onc,March,Hybrid
ESMO SRCC,ESMO Sarcoma and Rare Cancers Congress,Tier 1,International,Specific,Soft Tissue Cancers (including Heart),,Med Onc,,Sarcoma / Ortho Onc,March/April,Hybrid
ESTRO,European Society for Radiotherapy and Oncology Meeting,Tier 1,International,All,All,,Specialist,European Society for Radiotherapy and Oncology,Rad Onc,April/May,Hybrid
European,European Cancer Summit (European Cancer Organisation),Tier 2,International,All,All,,Other,,Med Onc,November,Hybrid
HAA,Hematology Association of Asia Congress,Tier 2,International,Specific,Hematological Malignancies,,Heme/Onc,Hematology Association of Asia,Heme/Onc,September,Hybrid
HCC-TAG,Hepatocellular Carcinoma - Targeted Agents and Genomics,Tier 2,United States,Specific,Liver and Bile Duct Cancers,,Med Onc,,Med Onc,January/February,In-person
HCLF,Hairy Cell Leukemia Foundation Scientific Meeting,Tier 3,International,Specific,Hematological Malignancies,Hairy Cell Leukemia,Heme/Onc,,Heme/Onc,September,In-person
IASLC,International Association for the Study of Lung Cancer (society events),Tier 2,International,Specific,Lung Cancers,,Med Onc,IASLC,Med Onc / Thoracic,Varies,Hybrid
IASLC-WCLC,World Conference on Lung Cancer,Tier 1,International,Specific,Lung Cancers,,Med Onc,IASLC,Med Onc / Thoracic,September,Hybrid
ICCCPO,Childhood Cancer International (formerly ICCCPO) Annual Conference,Tier 2,International,Specific,Pediatric Cancers,,Other,,Med Onc,,In-person
ICE,International Congress of Endocrinology,Tier 2,International,Specific,Thyroid Cancer,,Specialist,,Endocrine / Thyroid,,In-person
ICML,International Conference on Malignant Lymphoma (Lugano),Tier 1,International,Specific,Hematological Malignancies,B-Cell Lymphomas,Heme/Onc,ICML (Lugano),Heme/Onc,June,In-person
IFHNOS,International Federation of Head and Neck Oncologic Societies World Congress,Tier 1,International,Specific,Head and Neck Cancers,,Specialist,,ENT / Head & Neck,,Hybrid
IGCC,International Germ Cell Cancer Conference / Consensus,Tier 2,International,Specific,Testicular Cancer,,Med Onc,,Med Onc,June,In-person
IGCS,International Gynecologic Cancer Society Global Meeting,Tier 1,International,Specific,Gynecological Cancers,,Med Onc,,Med Onc,September/October,Hybrid
IKCS,International Kidney Cancer Symposium (KCA),Tier 2,International,Specific,Kidney (Renal) and Urethral Cancers,,Med Onc,,Surg Onc / Urology,November,Hybrid
ILCA,International Liver Cancer Association Annual Conference,Tier 1,International,Specific,Liver and Bile Duct Cancers,,Med Onc,International Liver Cancer Association,Med Onc,September,Hybrid
IMIG,International Mesothelioma Interest Group Conference,Tier 2,International,Specific,Mesothelioma,,Med Onc,,Med Onc,June,In-person
IMS,International Myeloma Society Annual Meeting,Tier 1,International,Specific,Hematological Malignancies,Multiple Myeloma,Heme/Onc,International Myeloma Society,Heme/Onc,August/September,Hybrid
IMW,International Myeloma Workshop,Tier 1,International,Specific,Hematological Malignancies,Multiple Myeloma,Heme/Onc,International Myeloma Workshop,Heme/Onc,September (biennial),In-person
ISGIO,International Society of Gastrointestinal Oncology Annual Meeting,Tier 2,United States,Specific,Colorectal Cancer,,Med Onc,ISGIO,Med Onc,September,Hybrid
ISOO,International Society of Oral Oncology (with MASCC),Tier 2,International,Specific,Head and Neck Cancers,,Specialist,ISOO / MASCC,ENT / Head & Neck,June (with MASCC),Hybrid
ISPE,International Society for Pharmacoepidemiology (ICPE),Tier 2,International,All,All,,Other,ISPE,HEOR/Market Access,August,Hybrid
ISPOR,Professional Society for Health Economics & Outcomes Research,Tier 2,International,All,All,,Other,ISPOR,HEOR/Market Access,May (US) / November (Europe),Hybrid
ISTH,International Society on Thrombosis and Haemostasis Congress,Tier 2,International,Specific,Hematological Malignancies,Acute Myeloid Leukemia,Specialist,,Heme/Onc,,In-person
ITC,International Thyroid Congress,Tier 2,International,Specific,Thyroid Cancer,,Specialist,,Endocrine / Thyroid,October,In-person
ITMIG,International Thymic Malignancy Interest Group Annual Meeting,Tier 2,International,Specific,Thymic Cancers,,Specialist,,Med Onc,,In-person
iwCLL,International Workshop on Chronic Lymphocytic Leukemia,Tier 1,International,Specific,Hematological Malignancies,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Heme/Onc,International Workshop on CLL,Heme/Onc,,Hybrid
JADPRO Live,JADPRO Live (Advanced Practitioners in Hematology & Oncology),Tier 2,United States,All,All,,Other,Harborside / APSHO,Nursing/APP,November,Hybrid
JCA,Japanese Cancer Association Annual Meeting,Tier 2,International,All,All,,Med Onc,,Med Onc,September,Hybrid
KCRS,Kidney Cancer Research Summit,Tier 2,United States,Specific,Kidney (Renal) and Urethral Cancers,,Med Onc,,Surg Onc / Urology,July/August,In-person
LUGPA,Large Urology Group Practice Association Annual Meeting,Tier 2,United States,Specific,Prostate Cancer,,Specialist,,Surg Onc / Urology,,In-person
MBCC,Miami Breast Cancer Conference,Tier 1,United States,Specific,Breast Cancer,,Med Onc,PER,Med Onc / Breast,March,In-person
MDS,International Congress on Myelodysplastic Syndromes,Tier 1,International,Specific,Hematological Malignancies,Myelodysplastic Syndromes,Heme/Onc,,Heme/Onc,,Hybrid
MHNCS,Miami Head & Neck Cancer Symposium,Tier 2,United States,Specific,Head and Neck Cancers,,Specialist,,ENT / Head & Neck,,In-person
Miami/Breast,Miami Breast Cancer Conference,Tier 1,United States,Specific,Breast Cancer,,Med Onc,,Med Onc / Breast,,Hybrid
MPN Congress,International Congress on Myeloproliferative Neoplasms,Tier 2,International,Specific,Hematological Malignancies,Myeloproliferative Neoplasms,Heme/Onc,,,,
MPN Symposium,International Congress on Myeloproliferative Neoplasms,Tier 2,International,Specific,Hematological Malignancies,Myeloproliferative Neoplasms,Heme/Onc,,Heme/Onc,,In-person
MSTS,Musculoskeletal Tumor Society Annual Meeting,Tier 2,United States,Specific,Bone and Joint Cancers,,Specialist,,Sarcoma / Ortho Onc,October,In-person
MTCS,Multidisciplinary Thoracic Cancers Symposium,Tier 2,United States,Specific,Lung Cancers,,Specialist,,Med Onc / Thoracic,October,In-person
MWS/EADO,Melanoma World Society / EADO Congress,Tier 1,International,Specific,Skin Cancers,,Med Onc,,Derm Onc,April/May,Hybrid
NANETS,North American Neuroendocrine Tumor Society Annual Meeting,Tier 2,United States,Specific,Adrenal Cancer and Neuroendocrine Tumors,,Med Onc,,Med Onc,October,Hybrid
NCCN,National Comprehensive Cancer Network Annual Conference,Tier 1,United States,All,All,,Med Onc,National Comprehensive Cancer Network,Med Onc,March/April,Hybrid
NCODA,National Community Oncology Dispensing Association Meetings,Tier 2,United States,All,All,,Other,,Med Onc,,In-person
NCONN,National Coalition of Oncology Nurse Navigators (legacy; now AONN+),Tier 3,United States,All,All,,Other,,Med Onc,,In-person
NORD Summit,National Organization for Rare Disorders Rare Disease Summit,Tier 2,United States,Specific,Specific Syndromes,,Other,,Med Onc,,In-person
NSGC,National Society of Genetic Counselors Annual Conference,Tier 2,United States,Specific,Specific Syndromes,,Other,National Society of Genetic Counselors,Med Onc,,In-person
ONS,Oncology Nursing Society Congress,Tier 2,United States,All,All,,Other,Oncology Nursing Society,Nursing/APP,April,Hybrid
PCRI,Prostate Cancer Research Institute Patient Conference,Tier 3,United States,Specific,Prostate Cancer,,Other,,Surg Onc / Urology,September,In-person
POGO,Pediatric Oncology Group of Ontario Conference,Tier 2,International,Specific,Pediatric Cancers,,Other,,Med Onc,September,Hybrid
Rescue Lung,Rescue Lung Cancer Alliance Summit,Tier 3,United States,Specific,Lung Cancers,,Other,,Med Onc / Thoracic,November,In-person
RSNA,Radiological Society of North America Annual Meeting,Tier 1,United States,All,All,,Specialist,Radiological Society of North America,Imaging,Late November,Hybrid
SABCS,San Antonio Breast Cancer Symposium,Tier 1,United States,Specific,Breast Cancer,,Med Onc,"AACR, UT Health SA, Baylor (co-organizers)",Med Onc / Breast,December,Hybrid
SARC @ ASCO,Sarcoma Alliance for Research through Collaboration (at ASCO),Tier 2,United States,Specific,Soft Tissue Cancers (including Heart),,Med Onc,,Sarcoma / Ortho Onc,,In-person
SARC @ CTOS,Sarcoma Alliance for Research through Collaboration (at CTOS),Tier 2,International,Specific,Soft Tissue Cancers (including Heart),,Med Onc,,Sarcoma / Ortho Onc,,In-person
SGO,Society of Gynecologic Oncology Annual Meeting on Women's Cancer,Tier 1,United States,Specific,Gynecological Cancers,,Med Onc,Society of Gynecologic Oncology,Gyn Onc,March,Hybrid
SIOP,International Society of Paediatric Oncology Congress,Tier 1,International,Specific,Pediatric Cancers,,Med Onc,,Med Onc,October,Hybrid
SITC,Society for Immunotherapy of Cancer Annual Meeting,Tier 1,United States,All,All,,Med Onc,Society for Immunotherapy of Cancer,Med Onc,November,Hybrid
SMR,Society for Melanoma Research Congress,Tier 1,International,Specific,Skin Cancers,,Med Onc,,Derm Onc,October/November,Hybrid
SNO,Society for Neuro-Oncology Annual Meeting,Tier 1,United States,Specific,Brain and Other Nervous System,,Med Onc,Society for Neuro-Oncology,Neuro-Onc,November,Hybrid
SOGO,Society of Geriatric Oncology (SIOG) / Regional Gyn Onc usage,Tier 3,International,Specific,Gynecological Cancers,,Other,,Med Onc,,In-person
SOHO,Society of Hematologic Oncology Annual Meeting,Tier 1,United States,Specific,Hematological Malignancies,,Heme/Onc,,Heme/Onc,September,Hybrid
SPAGN,Sarcoma Patients Global Network Annual Conference,Tier 3,International,Specific,Soft Tissue Cancers (including Heart),,Other,,Sarcoma / Ortho Onc,,In-person
SSO,Society of Surgical Oncology Annual Meeting,Tier 1,United States,All,All,,Specialist,Society of Surgical Oncology,Surg Onc / Urology,March,Hybrid
St. Gallen,St. Gallen International Breast Cancer Conference,Tier 1,International,Specific,Breast Cancer,,Med Onc,,Med Onc / Breast,March (biennial),In-person
SUO,Society of Urologic Oncology Annual Meeting,Tier 1,United States,Specific,Prostate Cancer,,Specialist,Society of Urologic Oncology,Surg Onc / Urology,November/December,Hybrid
TCT,Transplantation & Cellular Therapy Meetings (ASTCT/CIBMTR),Tier 1,United States,Specific,Hematological Malignancies,Multiple Myeloma,Heme/Onc,ASTCT & CIBMTR,Heme/Onc,February,Hybrid
TSHNS,Triological Society / Head & Neck Surgery meetings (various),Tier 3,United States,Specific,Head and Neck Cancers,,Specialist,,ENT / Head & Neck,,In-person
WCC,World Cancer Congress (UICC),Tier 1,International,All,All,,Other,,Med Onc,October,Hybrid
WCGIC,World Congress on Gastrointestinal Cancer (ESMO),Tier 1,International,Specific,Colorectal Cancer,,Med Onc,,Med Onc,July,In-person
WCTC,World Congress on Thyroid Cancer,Tier 1,International,Specific,Thyroid Cancer,,Specialist,,Endocrine / Thyroid,October,Hybrid
WFH,World Federation of Hemophilia World Congress,Tier 2,International,Specific,Hematological Malignancies,Myeloproliferative Neoplasms,Specialist,,Heme/Onc,May/June (biennial),Hybrid
WFNOS,World Federation of Neuro-Oncology Societies Meeting,Tier 1,International,Specific,Brain and Other Nervous System,,Med Onc,World Federation of Neuro-Oncology Societies,Neuro-Onc,May/June (triennial),In-person
Winter Hematology,PER Congress on Hematologic Malignancies (Winter Hematology),Tier 2,United States,Specific,Hematological Malignancies,,Heme/Onc,,Heme/Onc,January,In-person
WOC,World Oncology Congress,Tier 2,International,All,All,,Med Onc,,Med Onc,November,Hybrid
