Trial (NCT),Condition,Arm,Interventions,OS median,OS 95% CI low,OS 95% CI high,OS N,PFS median,PFS 95% CI low,PFS 95% CI high,PFS N,ORR %,CT.gov last updated,Trial start date,Trial completion date
NCT03058289,"Breast Cancer; Head and Neck Cancer; Squamous Cell Carcinoma; Lymphoma; Pancreatic Cancer; Liver Cancer; Colon Cancer; Lung Cancer; Bile Duct Cancer; Chordoma of Sacrum; Sarcoma; Breast Neoplasms; Head and Neck Neoplasms; Carcinoma, Squamous Cell; Lymphoma; Pancreatic Neoplasms; Liver Neoplasms; Colonic Neoplasms; Lung Neoplasms; Bile Duct Neoplasms; Sarcoma; Neoplasms; Diabetes Mellitus, Insulin-Dependent, 12; Carcinoma",Monotherapy: Cohort EA,"INT230-6, anti-PD-1 antibody, anti-CTLA-4 antibody",,,,,,,,,,2025-02-27,2017-02-09,2023-02-22
NCT03058289,"Breast Cancer; Head and Neck Cancer; Squamous Cell Carcinoma; Lymphoma; Pancreatic Cancer; Liver Cancer; Colon Cancer; Lung Cancer; Bile Duct Cancer; Chordoma of Sacrum; Sarcoma; Breast Neoplasms; Head and Neck Neoplasms; Carcinoma, Squamous Cell; Lymphoma; Pancreatic Neoplasms; Liver Neoplasms; Colonic Neoplasms; Lung Neoplasms; Bile Duct Neoplasms; Sarcoma; Neoplasms; Diabetes Mellitus, Insulin-Dependent, 12; Carcinoma",Monotherapy: Cohort EC,"INT230-6, anti-PD-1 antibody, anti-CTLA-4 antibody",,,,,,,,,,2025-02-27,2017-02-09,2023-02-22
NCT03058289,"Breast Cancer; Head and Neck Cancer; Squamous Cell Carcinoma; Lymphoma; Pancreatic Cancer; Liver Cancer; Colon Cancer; Lung Cancer; Bile Duct Cancer; Chordoma of Sacrum; Sarcoma; Breast Neoplasms; Head and Neck Neoplasms; Carcinoma, Squamous Cell; Lymphoma; Pancreatic Neoplasms; Liver Neoplasms; Colonic Neoplasms; Lung Neoplasms; Bile Duct Neoplasms; Sarcoma; Neoplasms; Diabetes Mellitus, Insulin-Dependent, 12; Carcinoma",Monotherapy: Cohort EC-2,"INT230-6, anti-PD-1 antibody, anti-CTLA-4 antibody",,,,,,,,,,2025-02-27,2017-02-09,2023-02-22
NCT03058289,"Breast Cancer; Head and Neck Cancer; Squamous Cell Carcinoma; Lymphoma; Pancreatic Cancer; Liver Cancer; Colon Cancer; Lung Cancer; Bile Duct Cancer; Chordoma of Sacrum; Sarcoma; Breast Neoplasms; Head and Neck Neoplasms; Carcinoma, Squamous Cell; Lymphoma; Pancreatic Neoplasms; Liver Neoplasms; Colonic Neoplasms; Lung Neoplasms; Bile Duct Neoplasms; Sarcoma; Neoplasms; Diabetes Mellitus, Insulin-Dependent, 12; Carcinoma",Monotherapy: Cohort EC3,"INT230-6, anti-PD-1 antibody, anti-CTLA-4 antibody",,,,,,,,,,2025-02-27,2017-02-09,2023-02-22
NCT02200042,Stage III Intrahepatic Cholangiocarcinoma; Stage IVA Intrahepatic Cholangiocarcinoma; Cholangiocarcinoma,Observation,Image Guided Radiation Therapy,,,,,,,,,,2019-08-28,2014-09-29,2018-07-02
NCT02200042,Stage III Intrahepatic Cholangiocarcinoma; Stage IVA Intrahepatic Cholangiocarcinoma; Cholangiocarcinoma,Radiation Therapy,Image Guided Radiation Therapy,,,,,,,,,,2019-08-28,2014-09-29,2018-07-02
NCT04945720,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Study Group,"Hepatic artery infusion chemotherapy（HAIC）, Durvalumab",16.0,,,30.0,,,,,16.0,2026-02-25,2022-04-11,2024-07-05
NCT03029988,Liver Metastases; Colorectal Carcinoma; Colorectal Neoplasms; Adenocarcinoma,Cohort 1,"Tilmanocept (Technetium Tc 99m tilmanocept Injection), SPECT/CT Imaging",,,,,,,,,,2020-09-10,2017-07-26,2018-09-24
NCT00024258,"Brain and Central Nervous System Tumors; Childhood Germ Cell Tumor; Extragonadal Germ Cell Tumor; Kidney Cancer; Liver Cancer; Neuroblastoma; Ovarian Cancer; Retinoblastoma; Sarcoma; Central Nervous System Neoplasms; Kidney Neoplasms; Liver Neoplasms; Neuroblastoma; Ovarian Neoplasms; Retinoblastoma; Sarcoma; Osteosarcoma; Hepatoblastoma; Wilms Tumor; Desmoplastic Small Round Cell Tumor; Medulloblastoma; Neuroectodermal Tumors, Primitive, Peripheral; Teratoma; Testicular Neoplasms; Ovarian Germ Cell Cancer",Arsenic Trioxide,arsenic trioxide,,,,,,,,,,2015-11-25,2001-03,2009-05
NCT02182687,"Hepatocellular Carcinoma; HCC; Carcinoma, Hepatocellular",Arm A,"Stereotactic Body Radiation Therapy (SBRT), Trans-Arterial Chemoembolization (TACE), Doxorubin",,,,,,,,,,2024-03-05,2014-06,2021-10
NCT02182687,"Hepatocellular Carcinoma; HCC; Carcinoma, Hepatocellular",Arm B,"Stereotactic Body Radiation Therapy (SBRT), Trans-Arterial Chemoembolization (TACE), Doxorubin",,,,,,,,,,2024-03-05,2014-06,2021-10
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Ewing's Sarcoma,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",53.85,24.77,75.99,13.0,,,,,0.0,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Non-Rhabdomyosarcoma Soft Tissue Sarcoma,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",74.59,39.76,91.1,13.0,,,,,0.0,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Osteosarcoma,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",35.86,18.96,53.13,29.0,,,,,,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Rare Tumors,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",34.78,16.63,53.71,23.0,,,,,13.04,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Rhabdomyosarcoma,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",25.0,6.01,50.48,13.0,,,,,0.0,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Wilms Tumor,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",42.74,15.9,67.5,13.0,,,,,0.0,2026-03-25,2017-05-18,2026-06-27
NCT02112656,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular; Carcinoma; Neoplasms, Glandular and Epithelial; Neoplasms by Histologic Type; Neoplasms; Adenocarcinoma; Liver Neoplasms; Digestive System Neoplasms; Neoplasms by Site; Digestive System Diseases; Liver Diseases",Dummy Infusion,"ThermoDox, Dummy infusion",,47.93,,277.0,16.78,12.86,21.32,277.0,,2024-08-20,2014-06,2020-04-27
NCT02112656,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular; Carcinoma; Neoplasms, Glandular and Epithelial; Neoplasms by Histologic Type; Neoplasms; Adenocarcinoma; Liver Neoplasms; Digestive System Neoplasms; Neoplasms by Site; Digestive System Diseases; Liver Diseases",ThermoDox 50 mg/m2,"ThermoDox, Dummy infusion",58.06,45.53,,277.0,19.31,15.72,25.2,277.0,,2024-08-20,2014-06,2020-04-27
NCT02670122,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Adverse Events,DEB-TACE,,,,,,,,,,2021-03-30,2015-03,2018-11-30
NCT02216773,Liver Resection; Cancer; Neoplasms,Portal Vein Embolization (PVE),"Radiofrequency assisted liver partition with portal vein ligation (RALPP), Portal vein embolization (PVE)",,,,,,,,,,2019-11-07,2015-07,2018-04
NCT02216773,Liver Resection; Cancer; Neoplasms,Radiofrequency Assisted Liver Partition and Ligation (RALPPS),"Radiofrequency assisted liver partition with portal vein ligation (RALPP), Portal vein embolization (PVE)",,,,,,,,,,2019-11-07,2015-07,2018-04
NCT00427973,"Adult Primary Hepatocellular Carcinoma; Advanced Adult Primary Liver Cancer; Localized Unresectable Adult Primary Liver Cancer; Recurrent Adult Primary Liver Cancer; Carcinoma, Hepatocellular",Singe Arm Open Label Study With AZD2171 at 30 mg Daily,"cediranib maleate, laboratory biomarker analysis, computed tomography, dynamic contrast-enhanced magnetic resonance imaging, pharmacological study",11.7,7.5,13.6,17.0,77.0,60.0,99.0,17.0,,2016-10-31,2009-05,2012-03
